County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,0010,ABSECON CITY,050,Emma C. Attales E.S.,06,20,23,7,6,9,5,6,3,0,0,0,0,0,1,80,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C. Attales E.S.,07,29,22,6,6,4,5,6,1,0,0,0,0,0,0,79,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C. Attales E.S.,08,32,32,4,3,5,3,3,4,0,0,0,0,0,0,86,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C. Attales E.S.,UG,4,2,3,0,2,0,0,1,0,0,0,0,0,0,12,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C. Attales E.S.,55,85,79,20,15,20,13,15,9,0,0,0,0,0,1,257,58,18,5,0
01,ATLANTIC,0010,ABSECON CITY,060,H. Ashton Marsh E.S.,KF,35,21,6,5,9,5,1,5,0,0,0,0,1,1,89,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H. Ashton Marsh E.S.,01,36,36,8,5,5,6,8,3,0,0,0,0,0,1,108,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H. Ashton Marsh E.S.,02,36,20,4,6,4,4,5,5,0,0,0,0,0,0,84,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H. Ashton Marsh E.S.,03,30,31,4,9,6,4,4,6,0,0,0,0,0,1,95,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H. Ashton Marsh E.S.,04,30,26,6,7,6,4,7,2,0,0,0,0,0,0,88,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H. Ashton Marsh E.S.,05,27,33,4,6,3,4,6,5,0,0,0,0,0,0,88,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H. Ashton Marsh E.S.,UG,8,6,1,2,6,0,2,0,0,0,0,0,0,0,25,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H. Ashton Marsh E.S.,55,202,173,33,40,39,27,33,26,0,0,0,0,1,3,577,139,35,39,0
01,ATLANTIC,0010,ABSECON CITY,999,Total,KF,35,21,6,5,9,5,1,5,0,0,0,0,1,1,89,,,,
01,ATLANTIC,0010,ABSECON CITY,999,Total,01,36,36,8,5,5,6,8,3,0,0,0,0,0,1,108,,,,
01,ATLANTIC,0010,ABSECON CITY,999,Total,02,36,20,4,6,4,4,5,5,0,0,0,0,0,0,84,,,,
01,ATLANTIC,0010,ABSECON CITY,999,Total,03,30,31,4,9,6,4,4,6,0,0,0,0,0,1,95,,,,
01,ATLANTIC,0010,ABSECON CITY,999,Total,04,30,26,6,7,6,4,7,2,0,0,0,0,0,0,88,,,,
01,ATLANTIC,0010,ABSECON CITY,999,Total,05,27,33,4,6,3,4,6,5,0,0,0,0,0,0,88,,,,
01,ATLANTIC,0010,ABSECON CITY,999,Total,06,20,23,7,6,9,5,6,3,0,0,0,0,0,1,80,,,,
01,ATLANTIC,0010,ABSECON CITY,999,Total,07,29,22,6,6,4,5,6,1,0,0,0,0,0,0,79,,,,
01,ATLANTIC,0010,ABSECON CITY,999,Total,08,32,32,4,3,5,3,3,4,0,0,0,0,0,0,86,,,,
01,ATLANTIC,0010,ABSECON CITY,999,Total,UG,12,8,4,2,8,0,2,1,0,0,0,0,0,0,37,,,,
01,ATLANTIC,0010,ABSECON CITY,999,Total,55,287,252,53,55,59,40,48,35,0,0,0,0,1,4,834,197,53,44,0
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City H.S.,09,53.5,52.5,133,128,129,116,45,30,0,0,2,1,0,0,690,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City H.S.,10,51,52,87,92.5,86,70,33,34,1,0,8,5,1,0,520.5,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City H.S.,11,51.5,59,90,85,77.5,80,50,32,0,0,6,2,0,0,533,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City H.S.,12,47.5,50,89,86.5,74,62.5,35,36,0,0,1,3,0,0,484.5,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City H.S.,UG,6,1,30,19,16,9,5,3,0,0,0,0,0,0,89,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City H.S.,55,209.5,214.5,429,411,382.5,337.5,168,135,1,0,17,11,1,0,2317,1240,85.5,185.5,0
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,PF,0,2,1,0,3,3,3,3,0,0,0,0,0,0,15,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,KF,0,1,2,1,30,29,14,9,0,0,3,1,0,0,90,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,01,2,0,1,3,40,35,11,8,0,0,1,0,0,0,101,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,02,2,1,2,2,25,25,13,7,0,0,4,1,0,0,82,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,03,1,0,2,2,44,22,9,8,0,0,2,1,0,0,91,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,04,2,0,2,2,31,33,5,8,0,0,2,4,0,0,89,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,05,0,1,3,1,36,26,8,8,0,0,3,1,0,0,87,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,06,0,0,1,4,19,26,13,12,0,0,0,0,0,0,75,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,07,0,0,1,0,32,23,7,13,0,0,0,0,0,0,76,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,08,0,2,1,1,18,24,7,8,0,0,3,0,0,0,64,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,UG,0,0,2,1,2,2,0,2,0,0,0,0,0,0,9,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue E.S.,55,7,7,18,17,280,248,90,86,0,0,18,8,0,0,779,627,67,295,0
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights E.S.,KF,0,1,8,4,8,8,2,5,0,0,0,0,1,0,37,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights E.S.,01,0,1,5,2,9,13,1,8,0,0,1,0,0,0,40,,,,
