County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,Grade_Level,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,05,05,37,35,5,3,10,7,7,3,0,0,0,0,1,1,109,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,06,06,33,21,3,4,3,11,4,6,0,0,0,0,0,0,85,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,07,07,23,27,3,9,4,6,6,5,0,0,0,0,0,1,84,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,08,08,28,23,7,7,7,5,4,3,0,0,0,0,0,0,84,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,UG,UG,3,0,2,1,1,0,0,0,0,0,0,0,0,0,7,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,55,TOTAL,124,106,20,24,25,29,21,17,0,0,0,0,1,2,369,138,33,5,0
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,KF,KG,21,22,3,3,3,8,4,1,0,0,0,0,3,1,69,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,01,01,22,35,6,2,12,10,4,3,0,0,0,0,2,4,100,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,02,02,21,25,5,9,12,5,3,8,0,0,0,0,0,5,93,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,03,03,34,20,5,10,4,6,5,4,0,0,0,0,2,1,91,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,04,04,33,23,10,5,10,6,2,4,0,0,0,0,1,1,95,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,UG,UG,3,1,1,0,4,2,0,0,0,0,0,0,0,0,11,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,55,TOTAL,134,126,30,29,45,37,18,20,0,0,0,0,8,12,459,185,30,41,0
01,ATLANTIC,0010,ABSECON CITY,999,District Total,KF,KG,21,22,3,3,3,8,4,1,0,0,0,0,3,1,69,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,01,01,22,35,6,2,12,10,4,3,0,0,0,0,2,4,100,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,02,02,21,25,5,9,12,5,3,8,0,0,0,0,0,5,93,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,03,03,34,20,5,10,4,6,5,4,0,0,0,0,2,1,91,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,04,04,33,23,10,5,10,6,2,4,0,0,0,0,1,1,95,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,05,05,37,35,5,3,10,7,7,3,0,0,0,0,1,1,109,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,06,06,33,21,3,4,3,11,4,6,0,0,0,0,0,0,85,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,07,07,23,27,3,9,4,6,6,5,0,0,0,0,0,1,84,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,08,08,28,23,7,7,7,5,4,3,0,0,0,0,0,0,84,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,UG,UG,6,1,3,1,5,2,0,0,0,0,0,0,0,0,18,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,55,TOTAL,258,232,50,53,70,66,39,37,0,0,0,0,9,14,828,323,63,46,0
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,09,09,44,39,106,96,132,124,43,48,0,1,6,3,1,1,644,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,10,10,49,36,65,87,100,88,44,48,0,0,0,2,2,0,521,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,11,11,54,51,62,63,80,52,46,43,0,0,0,0,1,0,452,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,12,12,55,48,44,36,49,58,60,33,0,1,0,0,0,0,384,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,UG,UG,1,0,3,1,0,3,1,0,0,0,0,0,0,0,9,,,,
01,ATLANTIC,0110,ATLANTIC CITY,010,Atlantic City High School,55,TOTAL,203,174,280,283,361,325,194,172,0,2,6,5,4,1,2010,1309,75,145,0
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,KF,KG,0,0,1,0,33,23,9,9,0,0,0,0,0,0,75,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,01,01,0,2,2,2,30,41,8,7,0,0,0,0,0,1,93,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,02,02,0,0,1,1,26,22,5,5,0,0,4,8,0,0,72,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,03,03,0,0,3,3,28,23,5,8,0,0,4,2,0,0,76,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,04,04,1,1,4,1,23,29,5,7,0,0,2,0,0,0,73,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,05,05,2,0,1,2,29,19,10,4,0,0,1,0,0,0,68,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,06,06,0,0,3,3,23,31,12,11,0,0,2,0,0,1,86,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,07,07,1,1,9,2,32,27,11,16,0,0,0,0,0,0,99,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,08,08,2,1,2,2,31,29,10,14,0,0,0,0,0,0,91,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,UG,UG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,
01,ATLANTIC,0110,ATLANTIC CITY,030,Sovereign Avenue School,55,TOTAL,6,5,26,16,256,244,75,81,0,0,13,10,0,2,734,585,18,249,0
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,PF,PK,1,0,1,4,6,5,6,6,0,0,0,0,0,0,29,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,KF,KG,1,0,4,4,12,13,3,2,0,0,0,0,1,0,40,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,01,01,5,0,2,4,10,6,5,3,0,0,0,0,0,0,35,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,02,02,0,1,4,5,11,8,5,5,0,0,0,0,0,0,39,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,03,03,1,1,4,4,7,11,10,2,0,0,0,0,0,0,40,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,04,04,1,0,7,1,4,11,1,2,0,0,0,0,0,0,27,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,05,05,0,0,3,2,9,12,2,10,0,0,1,0,0,0,39,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,06,06,1,1,4,3,5,10,6,4,0,0,0,0,0,0,34,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,07,07,2,1,4,4,5,5,3,2,0,0,0,0,0,1,27,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,08,08,2,0,7,6,7,10,4,2,0,0,0,0,0,0,38,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,UG,UG,0,0,3,1,5,0,0,0,0,0,0,0,0,0,9,,,,
01,ATLANTIC,0110,ATLANTIC CITY,050,Chelsea Heights School,55,TOTAL,14,4,43,38,81,91,45,38,0,0,1,0,1,1,357,244,20,39,0
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,KF,KG,0,0,4,1,17,33,5,10,1,0,0,0,0,0,71,,,,
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,01,01,2,0,1,1,22,31,7,9,0,0,0,0,0,0,73,,,,
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,02,02,0,2,2,1,26,28,6,3,0,0,2,1,0,0,71,,,,
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,03,03,0,0,0,0,30,28,5,11,0,0,0,1,1,0,76,,,,
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,04,04,0,0,2,2,13,23,5,7,0,0,0,0,0,0,52,,,,
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,05,05,0,0,0,0,15,19,12,8,0,0,0,0,0,0,54,,,,
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,06,06,0,0,4,3,23,20,11,8,0,0,0,0,0,0,69,,,,
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,07,07,0,0,4,2,14,18,9,6,0,0,0,1,0,1,55,,,,
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,08,08,0,0,2,0,20,20,12,7,0,0,1,2,0,0,64,,,,
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,UG,UG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,
01,ATLANTIC,0110,ATLANTIC CITY,060,Texas Avenue School,55,TOTAL,2,2,19,10,181,220,72,69,1,0,3,5,1,1,586,473,15,197,0
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,PF,PK,0,0,14,12,4,2,1,1,0,0,0,0,0,0,34,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,KF,KG,0,1,36,13,7,6,3,0,0,0,0,0,1,2,69,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,01,01,0,0,28,27,9,5,0,0,0,0,0,0,0,0,69,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,02,02,2,0,27,28,5,8,2,0,0,0,0,0,0,0,72,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,03,03,1,0,25,22,3,7,2,0,0,0,0,1,0,0,61,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,04,04,0,1,23,26,5,8,0,2,0,0,0,1,0,0,66,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,05,05,0,0,21,27,5,5,1,1,0,0,0,0,0,0,60,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,06,06,0,0,16,22,2,6,1,0,0,0,0,1,0,0,48,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,07,07,2,0,22,16,6,6,0,1,0,0,0,0,0,0,53,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,08,08,1,0,17,21,2,7,1,1,0,0,0,0,0,0,50,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,UG,UG,0,0,17,5,7,4,1,1,0,0,0,0,0,0,35,,,,
01,ATLANTIC,0110,ATLANTIC CITY,070,New York Avenue School,55,TOTAL,6,2,246,219,55,64,12,7,0,0,0,3,1,2,617,513,10,40,0
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,PF,PK,0,0,8,18,4,3,0,0,0,0,0,0,0,0,33,,,,
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,KF,KG,0,0,27,27,9,9,0,2,0,0,0,0,0,0,74,,,,
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,01,01,0,0,22,22,8,10,0,0,0,0,0,0,0,0,62,,,,
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,02,02,0,1,18,25,2,10,1,1,0,0,0,0,0,0,58,,,,
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,03,03,0,0,25,24,2,8,1,1,0,0,0,0,0,0,61,,,,
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,04,04,0,0,20,15,7,4,0,0,0,0,1,0,0,0,47,,,,
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,05,05,0,1,24,18,8,8,1,0,0,0,0,0,0,0,60,,,,
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,06,06,1,2,20,23,8,10,1,2,0,0,0,0,0,0,67,,,,
01,ATLANTIC,0110,ATLANTIC CITY,080,Uptown School Complex,07,07,0,0,20,22,7,4,1,1,0,0,0,0,0,0,55,,,,
