County Code,County Name,District Code,District Name,Total Enrollment,White,%White,Black,%Black,Hispanic,%Hispanic,Asian,%Asian,Native American,%Native American,Hawaiian Native,%Hawaiian Native,Two or More Races,%Two or More Races,Pre-K Halfday,Pre-K FullDay,Kindergarten Halfday,Kindergarten Fullday,First Grade,Second Grade,Third Grade,Fourth Grade,Fifth Grade,Sixth Grade,Seventh Grade,Eighth Grade,Ninth Grade,Tenth Grade,Eleventh Grade,Twelfth Grade,Ungraded,%Free Lunch,%Reduced Lunch,%English Learners,%Migrant,%Military,%Homeless
01,Atlantic,0010,Absecon City,907,479,52.8,131,14.4,197,21.7,52,5.7,0,0,1,0.1,47,5.2,0,62,0,96,79,104,84,83,90,95,91,91,0,0,0,0,32,41.2,6.7,7.3,0,0.9,0.6
01,Atlantic,0110,Atlantic City,6779,302,4.5,2224,32.8,2978,43.9,1114,16.4,2,0,47,0.7,112,1.7,0,502,0,508,451,520,452,474,480,503,467,482,528,435,380,346,251,87.6,4.2,15,0,0,1.9
01,Atlantic,0120,Atlantic Co Vocational,1714,523,30.5,350,20.4,689,40.2,86,5,6,0.4,10,0.6,50,2.9,0,0,0,0,0,0,0,0,0,0,0,0,428,374,376,355,181,53.4,10,0,0,2.2,0.7
01,Atlantic,0125,Atlantic Co Special Serv,322,109,33.9,84,26.1,103,32,14,4.3,1,0.3,5,1.6,6,1.9,0,4,0,0,8,3,3,5,2,5,4,5,2,5,4,21,251,35.7,4.3,0,0,0.3,1.6
01,Atlantic,0570,Brigantine City,521,361,69.3,26,5,74,14.2,60,11.5,0,0,0,0,0,0,0,65,0,46,51,46,47,42,47,65,44,56,0,0,0,0,12,37.4,9.6,3.1,0,2.5,0.4
01,Atlantic,0590,Buena Regional,1674,919,54.9,256,15.3,466,27.8,20,1.2,2,0.1,1,0.1,10,0.6,0,112,0,108,111,99,91,95,103,103,104,137,118,140,118,136,99,45.8,10.5,2.6,0.5,0.2,2.4
01,Atlantic,1300,Egg Harbor City,477,121,25.4,122,25.6,196,41.1,9,1.9,0,0,0,0,29,6.1,0,45,0,46,43,53,42,43,47,39,54,34,0,0,0,0,31,75.5,4.4,5.7,0,0.6,1.7
01,Atlantic,1310,Egg Harbor Twp,7302,3236,44.3,694,9.5,1900,26,1071,14.7,8,0.1,12,0.2,381,5.2,137,0,314,0,483,480,484,481,569,540,609,567,627,561,571,601,278,36.6,7.5,3.4,0,1.7,0.4
01,Atlantic,1410,Estell Manor City,195,182,93.3,2,1,7,3.6,0,0,0,0,1,0.5,3,1.5,0,0,0,22,22,21,20,20,18,22,26,23,0,0,0,0,1,22.6,3.1,0,0,0,0
01,Atlantic,1540,Folsom Boro,386,337,87.3,9,2.3,25,6.5,3,0.8,0,0,0,0,12,3.1,0,16,0,34,35,43,40,43,47,45,43,40,0,0,0,0,0,18.9,8,0.3,0,1.8,0.3
01,Atlantic,1690,Galloway Twp,3301,1430,43.3,555,16.8,790,23.9,311,9.4,4,0.1,3,0.1,208,6.3,0,117,0,302,300,288,352,311,364,346,361,363,0,0,0,0,197,42.6,8.5,3.2,0,1.1,1.5
01,Atlantic,1790,Greater Egg Harbor Reg,3031,1425,47,635,21,624,20.6,252,8.3,2,0.1,6,0.2,87,2.9,0,0,0,0,0,0,0,0,0,0,0,0,749,803,701,728,50,39.4,10,1.6,0,1.5,1.4
01,Atlantic,1940,Hamilton Twp,3022,1207,39.9,752,24.9,700,23.2,162,5.4,0,0,1,0,200,6.6,81,208,0,264,273,258,285,277,307,299,319,301,0,0,0,0,150,46,7.7,2.5,0,0.3,0
01,Atlantic,1960,Hammonton Town,3495,2303,65.9,129,3.7,989,28.3,23,0.7,3,0.1,1,0,47,1.3,131,0,0,168,151,177,168,174,205,189,322,317,347,340,337,327,142,37.6,4.3,7.8,1,0.1,0.7
01,Atlantic,2680,Linwood City,821,648,78.9,15,1.8,78,9.5,37,4.5,0,0,1,0.1,42,5.1,17,11,33,42,82,79,87,82,87,91,108,95,0,0,0,0,7,9.6,2.2,1.1,0,3.9,0.2
01,Atlantic,2910,Mainland Regional,1239,827,66.7,61,4.9,227,18.3,67,5.4,0,0,0,0,57,4.6,0,0,0,0,0,0,0,0,0,0,0,0,294,295,308,292,50,14.8,3.6,0.6,0,0,1.2
01,Atlantic,3020,Margate City,360,326,90.6,2,0.6,12,3.3,6,1.7,2,0.6,2,0.6,10,2.8,0,0,0,43,21,41,29,33,45,49,52,38,0,0,0,0,9,7.2,1.1,0.8,0,1.7,0.8
01,Atlantic,3480,Mullica Twp,705,477,67.7,32,4.5,178,25.2,1,0.1,2,0.3,0,0,15,2.1,0,56,0,70,51,48,76,68,83,78,88,84,0,0,0,0,3,37.4,6.1,0.4,0.1,0.1,1.3
01,Atlantic,3720,Northfield City,935,721,77.1,16,1.7,116,12.4,54,5.8,0,0,1,0.1,27,2.9,0,20,0,94,77,92,97,97,106,98,105,107,0,0,0,0,42,16.9,3.5,1.4,0,1.2,0.1
