"County Code","County Name","District Code","District Name","Total Enrollment","White","Black","Hispanic","Asian","Native American","Hawaiian Native","Two Or More Races","%Free Lunch","%Reduced Lunch","Pre-K","Kindergarten","First Grade","Second Grade","Third Grade","Fourth Grade","Fifth Grade","Sixth Grade","Seventh Grade","Eighth Grade","Ninth Grade","Tenth Grade","Eleventh Grade","Twelfth Grade"
"01","Atlantic","0010","Absecon City",-2.2,-6.7,1.5,5.6,9.6,NA,-100,-10.6,-0.400000000000006,-0.8,-22.6,-13.5,19,-26.9,27.4,6,-6.7,-1.1,3.3,3.3,NA,NA,NA,NA
"01","Atlantic","0110","Atlantic City",-4.9,-12.3,-3.5,-4.4,-6.1,-50,-10.6,-8.9,-6.09999999999999,-0.6,-32.3,-25.4,6.9,-17.5,4.4,-7.2,-4.8,-6,4.3,-1.9,-6.1,6.2,6.6,6.6
"01","Atlantic","0120","Atlantic Co Vocational",-0.1,-1.3,-15.4,4.6,18.6,-16.7,-10,28,-4.8,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,6.7,-5.6,2
"01","Atlantic","0125","Atlantic Co Special Serv",-5,-12.8,-2.4,4.9,-21.4,0,0,-33.3,3.8,1.6,0,NA,-100,166.7,33.3,-40,200,-40,100,-20,-50,-40,25,-38.1
"01","Atlantic","0570","Brigantine City",-14.8,-13,-30.8,-16.2,-20,NA,NA,NA,-3.6,-1.3,-13.8,-26.1,-25.5,0,-17,-2.4,-27.7,-35.4,31.8,-21.4,NA,NA,NA,NA
"01","Atlantic","0590","Buena Regional",-2.3,-3.2,-14.5,3.9,5,50,100,70,-1.09999999999999,0.300000000000001,-7.1,-8.3,8.1,14.1,4.4,-6.3,-5.8,3.9,4.8,-26.3,23.7,-18.6,10.2,-11
"01","Atlantic","1300","Egg Harbor City",6.7,9.1,1.6,8.2,11.1,NA,NA,6.9,-9.3,-0.5,-31.1,-6.5,16.3,-3.8,40.5,-4.7,0,25.6,-31.5,61.8,NA,NA,NA,NA
"01","Atlantic","1310","Egg Harbor Twp",-2.6,-4.2,-3.5,-2.4,-0.1,-12.5,33.3,2.9,-0.800000000000004,-0.6,-12.4,8.9,-15.5,-1.2,-1.7,-1.5,-16.3,6.1,-7.9,9.7,-12.9,11.6,-1.2,-5.3
"01","Atlantic","1410","Estell Manor City",-3.1,-2.2,0,-14.3,NA,NA,0,-33.3,-7.8,0.1,NA,-18.2,-4.5,4.8,0,5,11.1,-22.7,-15.4,13,NA,NA,NA,NA
"01","Atlantic","1540","Folsom Boro",-0.3,-1.5,11.1,16,33.3,NA,NA,-16.7,-2,-1.5,-31.2,2.9,0,-18.6,5,-2.3,0,6.7,2.3,15,NA,NA,NA,NA
"01","Atlantic","1690","Galloway Twp",-3.9,-0.8,25.4,-20,15.4,175,166.7,-77.4,-3.1,-2.3,-8.5,-5,0,3.8,-19,12.2,-14.8,2.6,-6.1,-0.8,NA,NA,NA,NA
"01","Atlantic","1790","Greater Egg Harbor Reg",-0.9,-2.2,1.1,0,-4,0,-50,12.6,-0.199999999999996,-0.699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.1,-8.3,13.4,-2.9
"01","Atlantic","1940","Hamilton Twp",-5.5,-9.2,-6.4,-0.9,-12.3,NA,0,9.5,-7.1,-1,-20.1,-14,-12.5,4.7,-12.6,4.7,-13.7,6,-6,6.3,NA,NA,NA,NA
"01","Atlantic","1960","Hammonton Town",-3.2,-2.7,-17.8,-2.4,0,0,100,-8.5,-14.8,-0.0999999999999996,-27.5,1.2,13.2,-16.9,-2.4,0,-20,14.3,-11.5,3.2,-12.7,1.2,-2.7,2.8
"01","Atlantic","2680","Linwood City",-1.7,-4,0,5.1,21.6,NA,-100,2.4,0.700000000000001,-0.6,-3.6,9.3,-9.8,2.5,-9.2,2.4,0,-3.3,-19.4,18.9,NA,NA,NA,NA
"01","Atlantic","2910","Mainland Regional",0,-0.7,-4.9,-2.2,6,NA,NA,17.5,4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,-0.7,-4.2,9.6
