CountyCode,CountyName,DistrictCode,DistrictName,EnrollmentChange,EnrollmentChangeNormalized
01,Atlantic,0010,Absecon City School District,-20,1212
80,Charters,6010,Academy Charter High School,-23.5,1208.5
80,Charters,6032,Academy For Urban Leadership Charter School,-63,1169
80,Charters,6110,Achieve Community Charter School,-132,1100
80,Charters,7895,Achievers Early College Prep Charter School,92,1324
19,Hunterdon,0020,Alexandria Township School District,-15,1217
41,Warren,0030,Allamuchy Township School District,-5,1227
03,Bergen,0040,Allendale Borough School District,-13,1219
33,Salem,0060,Alloway Township School District,-28,1204
41,Warren,0070,Alpha Borough School District,-23,1209
03,Bergen,0080,Alpine Borough School District,-2,1230
37,Sussex,0090,Andover Regional School District,-15,1217
21,Mercer,3105,Area Vocational Technical Schools Of Mercer County,25,1257
25,Monmouth,0100,Asbury Park City School District,-146,1086
01,Atlantic,0110,Atlantic City School District,-329,903
80,Charters,6060,Atlantic Community Charter School,-17,1215
01,Atlantic,0125,Atlantic County Special Services School District,-16,1216
01,Atlantic,0120,Atlantic County Vocational School District,-1,1231
25,Monmouth,0130,Atlantic Highlands Borough School District,-46,1186
07,Camden,0150,Audubon Public School District,-28,1204
09,Cape May,0170,Avalon Borough School District,-9,1223
25,Monmouth,0180,Avon-by-the-Sea Borough School District,8,1240
29,Ocean,0185,Barnegat Township School District,19,1251
07,Camden,0190,Barrington Borough School District,-34,1198
29,Ocean,0210,Bay Head Borough School District,5,1237
17,Hudson,0220,Bayonne City School District,-64,1168
25,Monmouth,0225,Bayshore Jointure Commission School District,0,1232
29,Ocean,0230,Beach Haven Borough School District,28,1260
35,Somerset,0240,Bedminster Township School District,-36,1196
13,Essex,0250,Belleville Town School District,-7.5,1224.5
07,Camden,0260,Bellmawr Borough School District,-42,1190
25,Monmouth,0270,Belmar Borough School District,-49,1183
80,Charters,6082,Beloved Community Charter School,113,1345
41,Warren,0280,Belvidere Town School District,-20,1212
80,Charters,6076,Benjamin Banneker Preparatory Charter School,-2,1230
80,Charters,6013,Bergen Arts And Science Charter School,34,1266
03,Bergen,0285,Bergen County Special Services School District,23,1255
03,Bergen,0290,Bergen County Vocational Technical School District,58.5,1290.5
03,Bergen,0300,Bergenfield Borough School District,25,1257
39,Union,0310,Berkeley Heights Township School District,-58,1174
29,Ocean,0320,Berkeley Township School District,-109,1123
07,Camden,0330,Berlin Borough School District,-3,1229
07,Camden,0340,Berlin Township School District,-46,1186
35,Somerset,0350,Bernards Township School District,-274.5,957.5
19,Hunterdon,0370,Bethlehem Township School District,-14,1218
05,Burlington,0380,Beverly City School District,5,1237
07,Camden,0390,Black Horse Pike Regional School District,-83,1149
41,Warren,0400,Blairstown Township School District,-60,1172
13,Essex,0410,Bloomfield Township School District,-386,846
31,Passaic,0420,Bloomingdale Borough School District,-8,1224
19,Hunterdon,0430,Bloomsbury Borough School District,-2,1230
03,Bergen,0440,Bogota Borough School District,48,1280
27,Morris,0450,Boonton Town School District,-31.5,1200.5
27,Morris,0460,Boonton Township School District,-16,1216
05,Burlington,0475,Bordentown Regional School District,-91,1141
35,Somerset,0490,Bound Brook Borough School District,-64,1168
25,Monmouth,0500,Bradley Beach Borough School District,-13,1219
35,Somerset,0510,Branchburg Township School District,-72,1160
29,Ocean,0530,Brick Township School District,-193.5,1038.5
11,Cumberland,0540,Bridgeton City School District,-321,911
80,Charters,6100,Bridgeton Public Charter School,-3,1229
35,Somerset,0555,Bridgewater-Raritan Regional School District,-285.5,946.5
25,Monmouth,0560,Brielle Borough School District,-7,1225
01,Atlantic,0570,Brigantine City School District,-77,1155
07,Camden,0580,Brooklawn Borough School District,-4,1228
01,Atlantic,0590,Buena Regional School District,-38,1194
80,Charters,6022,Burch Charter School Of Excellence,-18,1214
05,Burlington,0600,Burlington City School District,-42,1190
05,Burlington,0610,Burlington County Institute Of Technology School District,28,1260
05,Burlington,0605,Burlington County Special Services School District,-36,1196
05,Burlington,0620,Burlington Township School District,-110,1122
27,Morris,0630,Butler Borough School District,-27.5,1204.5
37,Sussex,0640,Byram Township School District,-4,1228
13,Essex,0660,Caldwell-West Caldwell School District,-41.5,1190.5
19,Hunterdon,0670,Califon Borough School District,12,1244
07,Camden,0680,Camden City School District,-570,662
07,Camden,0700,Camden County Technical School District,155,1387
07,Camden,1801,Camden Prep Inc.,58,1290
80,Charters,6107,Camden'S Promise Charter School,-60,1172
09,Cape May,0710,Cape May City School District,5,1237
09,Cape May,0715,Cape May County Special Services School District,0.5,1232.5
09,Cape May,0720,Cape May County Technical High School District,-12,1220
03,Bergen,0740,Carlstadt Borough School District,-21,1211
03,Bergen,0745,Carlstadt-East Rutherford School District,51,1283
23,Middlesex,0750,Carteret Borough School District,-136,1096
13,Essex,0760,Cedar Grove Township School District,-9.5,1222.5
80,Charters,6018,Central Jersey College Prep Charter School,199,1431
29,Ocean,0770,Central Regional School District,75,1307
80,Charters,7410,Chartertech High School For The Performing Arts,6,1238
07,Camden,0800,Cherry Hill Township School District,-380,852
27,Morris,0820,Chester Township School District,-36,1196
05,Burlington,0830,Chesterfield Township School District,-45,1187
05,Burlington,0840,Cinnaminson Township School District,43,1275
39,Union,0850,Clark Township School District,29,1261
80,Charters,6230,Classical Academy Charter School Of Clifton,15,1247
15,Gloucester,0860,Clayton Borough School District,-39,1193
15,Gloucester,0870,Clearview Regional School District,18.5,1250.5
07,Camden,0880,Clementon Borough School District,25,1257
03,Bergen,0890,Cliffside Park Borough School District,-76.5,1155.5
31,Passaic,0900,Clifton City School District,-218,1014
19,Hunterdon,0920,Clinton Township School District,-14,1218
19,Hunterdon,0910,Clinton Town-Glen Gardner School District,-15,1217
03,Bergen,0930,Closter Borough School District,-53,1179
80,Charters,6101,College Achieve Central Charter School,153.5,1385.5
80,Charters,7891,College Achieve Greater Asbury Park Charter School,58,1290
80,Charters,7892,College Achieve Paterson Charter School,257,1489
07,Camden,0940,Collingswood Borough School District,49,1281
25,Monmouth,0945,Colts Neck Township School District,-38,1194
11,Cumberland,0950,Commercial Township School District,-56,1176
80,Charters,6021,Community Charter School Of Paterson,-23,1209
80,Charters,6089,Compass Academy Charter School,3,1235
23,Middlesex,0970,Cranbury Township School District,-21,1211
39,Union,0980,Cranford Township School District,-62.5,1169.5
80,Charters,7897,Creativity Colaboratory Charter School,50,1282
03,Bergen,0990,Cresskill Borough School District,-18,1214
80,Charters,6102,Cresthaven Academy Charter School,79,1311
11,Cumberland,0995,Cumberland County Board Of Vocational Education,25,1257
11,Cumberland,0997,Cumberland Regional School District,34,1266
25,Monmouth,1000,Deal Borough School District,-5,1227
11,Cumberland,1020,Deerfield Township School District,3,1235
05,Burlington,1030,Delanco Township School District,-10,1222
19,Hunterdon,1040,Delaware Township School District,-22,1210
19,Hunterdon,1050,Delaware Valley Regional School District,-7.5,1224.5
05,Burlington,1060,Delran Township School District,-68,1164
15,Gloucester,4940,Delsea Regional High School District,-51,1181
03,Bergen,1070,Demarest Borough School District,-10,1222
09,Cape May,1080,Dennis Township School District,19,1251
27,Morris,1090,Denville Township School District,-52,1180
15,Gloucester,1100,Deptford Township School District,-190.5,1041.5
80,Charters,6320,Discovery Charter School,-6,1226
27,Morris,1110,Dover Town School District,-70,1162
11,Cumberland,1120,Downe Township School District,-11,1221
80,Charters,6064,Dr Lena Edwards Academic Charter School,-2,1230
03,Bergen,1130,Dumont Borough School District,-54,1178
23,Middlesex,1140,Dunellen Borough School District,-26,1206
29,Ocean,1150,Eagleswood Township School District,9,1241
19,Hunterdon,1160,East Amwell Township School District,-18,1214
23,Middlesex,1170,East Brunswick Township School District,-179,1053
15,Gloucester,1180,East Greenwich Township School District,-15,1217
27,Morris,1190,East Hanover Township School District,-26,1206
17,Hudson,1200,East Newark Borough School District,-3,1229
80,Charters,6410,East Orange Community Charter School,2,1234
13,Essex,1210,East Orange City School District,-541.5,690.5
03,Bergen,1230,East Rutherford Borough School District,-9,1223
21,Mercer,1245,East Windsor Regional School District,-187.5,1044.5
05,Burlington,1250,Eastampton Township School District,-13,1219
07,Camden,1255,Eastern Camden County Regional School District,-2,1230
25,Monmouth,1260,Eatontown Borough School District,-31,1201
05,Burlington,1280,Edgewater Park Township School District,-22,1210
03,Bergen,1270,Edgewater Borough School District,-267,965
23,Middlesex,1290,Edison Township School District,-54.5,1177.5
27,Morris,3364,Educational Services Commission Of Morris County,20,1252
23,Middlesex,3145,Educational Services Commission Of New Jersey,-51,1181
01,Atlantic,1300,Egg Harbor City School District,32,1264
01,Atlantic,1310,Egg Harbor Township School District,-193,1039
39,Union,1320,Elizabeth City School District,-612,620
15,Gloucester,1330,Elk Township School District,-12,1220
03,Bergen,1345,Elmwood Park Borough School District,-57.5,1174.5
33,Salem,1350,Elsinboro Township School District,-5,1227
80,Charters,6420,Elysian Charter School,-2,1230
03,Bergen,1360,Emerson Borough School District,-73,1159
80,Charters,6103,Empowerment Academy Charter School,121,1353
03,Bergen,1380,Englewood Cliffs Borough School District,-52,1180
80,Charters,6430,Englewood On The Palisades Charter School,-13,1219
03,Bergen,1370,Englewood City School District,-36,1196
80,Charters,6232,Environment Community Opportunity (Eco) Charter School,7,1239
13,Essex,1390,Essex County Schools Of Technology,-46,1186
13,Essex,1400,Essex Fells Borough School District,1,1233
13,Essex,1387,Essex Regional Educational Services Commission,-6,1226
01,Atlantic,1410,Estell Manor City School District,-6,1226
05,Burlington,1420,Evesham Township School District,-170,1062
21,Mercer,1430,Ewing Township School District,-71,1161
25,Monmouth,1440,Fair Haven Borough School District,-19,1213
03,Bergen,1450,Fair Lawn Borough School District,35,1267
13,Essex,1465,Fairfield Public School District,10,1242
11,Cumberland,1460,Fairfield Township School District,-72,1160
03,Bergen,1470,Fairview Public School District,-15,1217
25,Monmouth,1490,Farmingdale Public School District,-2,1230
19,Hunterdon,1510,Flemington-Raritan Regional School District,-117,1115
05,Burlington,1520,Florence Township School District,-88,1144
27,Morris,1530,Florham Park School District,-31,1201
01,Atlantic,1540,Folsom Borough School District,-1,1231
03,Bergen,1550,Fort Lee School District,-64,1168
80,Charters,6017,Foundation Academy Charter School,1,1233
37,Sussex,1560,Frankford Township Consolidated School District,-25,1207
37,Sussex,1570,Franklin Borough School District,15,1247
03,Bergen,1580,Franklin Lakes School District,10,1242
35,Somerset,1610,Franklin Township Public School District,-150.5,1081.5
41,Warren,1620,Franklin Township School District,-18,1214
19,Hunterdon,1600,Franklin Township School District,-19,1213
37,Sussex,1630,Fredon Township School District,-18,1214
80,Charters,6240,Freedom Prep Charter School,-46,1186
25,Monmouth,1640,Freehold Borough School District,-21,1211
25,Monmouth,1650,Freehold Regional High School District,-189,1043
25,Monmouth,1660,Freehold Township School District,-114,1118
41,Warren,1670,Frelinghuysen Township School District,-7,1225
19,Hunterdon,1680,Frenchtown Borough School District,-13,1219
01,Atlantic,1690,Galloway Township Public School District,-130,1102
03,Bergen,1700,Garfield Public School District,-218,1014
39,Union,1710,Garwood Boro,-11,1221
15,Gloucester,1715,Gateway Regional High School District,-25,1207
07,Camden,1720,Gibbsboro Elementary School District,10,1242
15,Gloucester,1730,Glassboro School District,-114,1118
13,Essex,1750,Glen Ridge Public School District,-37.5,1194.5
03,Bergen,1760,Glen Rock Public School District,14.5,1246.5
07,Camden,1770,Gloucester City Public School District,8,1240
15,Gloucester,1774,Gloucester County Special Services School District,-22,1210
15,Gloucester,1775,Gloucester County Vocational-Technical School District,42.5,1274.5
07,Camden,1780,Gloucester Township Public Schools,7,1239
80,Charters,6665,Gray Charter School,20,1252
41,Warren,1785,Great Meadows Regional School District,-21,1211
80,Charters,6053,Great Oaks Legacy Charter School,205,1437
80,Charters,6635,Greater Brunswick Charter School,-2,1230
01,Atlantic,1790,Greater Egg Harbor Regional High School District,-27,1205
35,Somerset,1810,Green Brook Township Public School District,-67,1165
37,Sussex,1800,Green Township School District,-29,1203
11,Cumberland,1820,Greenwich Township School District,-5,1227
41,Warren,1840,Greenwich Township School District,-59,1173
15,Gloucester,1830,Greenwich Township School District,-64,1168
17,Hudson,1850,Guttenberg School District,-60,1172
03,Bergen,1860,Hackensack School District,-274.5,957.5
41,Warren,1870,Hackettstown Public School District,12,1244
07,Camden,1880,Haddon Heights School District,13,1245
07,Camden,1890,Haddon Township School District,-89,1143
07,Camden,1900,Haddonfield School District,-65,1167
05,Burlington,1910,Hainesport Township School District,-47,1185
31,Passaic,1920,Haledon Public School District,-33,1199
37,Sussex,1930,Hamburg School District,-43,1189
21,Mercer,1950,Hamilton Township Public School District,-173.5,1058.5
01,Atlantic,1940,Hamilton Township School District,-165,1067
01,Atlantic,1960,Hammonton School District,-112,1120
19,Hunterdon,1970,Hampton Borough School District,-13,1219
37,Sussex,1980,Hampton Township School District,-9,1223
27,Morris,1990,Hanover Park Regional High School District,-29,1203
27,Morris,2000,Hanover Township School District,-63,1169
27,Morris,2010,Harding Township School District,-3,1229
37,Sussex,2030,Hardyston Township School District,-70,1162
41,Warren,2040,Harmony Township School District,-30,1202
03,Bergen,2050,Harrington Park School District,-38,1194
17,Hudson,2060,Harrison Public Schools,-32,1200
15,Gloucester,2070,Harrison Township School District,-114,1118
03,Bergen,2080,Hasbrouck Heights School District,-56.5,1175.5
80,Charters,6041,Hatikvah International Academy Charter School,28,1260
03,Bergen,2090,Haworth Public School District,5,1237
31,Passaic,2100,Hawthorne Public School District,-108,1124
25,Monmouth,2105,Hazlet Township Public School District,-110.5,1121.5
25,Monmouth,2120,Henry Hudson Regional School District,-25,1207
19,Hunterdon,2140,High Bridge Borough School District,-1,1231
37,Sussex,2165,High Point Regional High School District,-26.5,1205.5
23,Middlesex,2150,Highland Park Boro School District,-48.5,1183.5
25,Monmouth,2160,Highlands Borough School District,-5,1227
35,Somerset,2170,Hillsborough Township Public School District,-202,1030
03,Bergen,2180,Hillsdale School District,-28,1204
39,Union,2190,Hillside Public School District,-103.5,1128.5
80,Charters,6720,Hoboken Charter School,1,1233
80,Charters,6036,Hoboken Dual Language Charter School,-13,1219
17,Hudson,2210,Hoboken Public School District,-3,1229
03,Bergen,2200,Ho-Ho-Kus School District,-9,1223
19,Hunterdon,2220,Holland Township School District,-26,1206
25,Monmouth,2230,Holmdel Township School District,-105,1127
37,Sussex,2240,Hopatcong Borough School District,-63,1169
80,Charters,6740,Hope Academy Charter School,3,1235
80,Charters,6086,Hope Community Charter School,7,1239
41,Warren,2250,Hope Township School District,-10,1222
11,Cumberland,2270,Hopewell Township School District,0,1232
21,Mercer,2280,Hopewell Valley Regional School District,-36.5,1195.5
25,Monmouth,2290,Howell Township Public School District,-188,1044
80,Charters,6105,Hudson Arts And Science Charter School,-41,1191
17,Hudson,2295,Hudson County Schools Of Technology School District,-57,1175
19,Hunterdon,2300,Hunterdon Central Regional High School District,-70,1162
19,Hunterdon,2308,Hunterdon County Vocational School District,27.5,1259.5
80,Charters,6810,International Charter School Of Trenton,-1,1231
13,Essex,2330,Irvington Public School District,-376,856
29,Ocean,2350,Island Heights School District,16,1248
29,Ocean,2360,Jackson Township School District,-347,885
23,Middlesex,2370,Jamesburg Public School District,-49,1183
27,Morris,2380,Jefferson Township Public School District,-189.5,1042.5
80,Charters,6910,Jersey City Community Charter School,2,1234
80,Charters,6093,Jersey City Global Charter School,23,1255
80,Charters,6915,Jersey City Golden Door Charter School,19,1251
17,Hudson,2390,Jersey City Public Schools,-1097,135
80,Charters,6079,John P Holland Charter School,66,1298
25,Monmouth,2400,Keansburg School District,-105,1127
17,Hudson,2410,Kearny,-157,1075
39,Union,2420,Kenilworth School District,1.5,1233.5
25,Monmouth,2430,Keyport School District,-86,1146
15,Gloucester,2440,Kingsway Regional School District,13.5,1245.5
19,Hunterdon,2450,Kingwood Township School District,-18,1214
27,Morris,2460,Kinnelon School District,-56.5,1175.5
07,Camden,1799,Kipp: Cooper Norcross A New Jersey Nonprofit Corporation,262,1494
37,Sussex,2465,Kittatinny Regional School District,-64.5,1167.5
41,Warren,2470,Knowlton Township School District,-5,1227
29,Ocean,2480,Lacey Township School District,-92.5,1139.5
37,Sussex,2490,Lafayette Township School District,-2,1230
29,Ocean,2500,Lakehurst School District,-9,1223
31,Passaic,2510,Lakeland Regional High School District,-11,1221
29,Ocean,2520,Lakewood Township School District,-296.5,935.5
07,Camden,2540,Laurel Springs School District,-12,1220
29,Ocean,2550,Lavallette Borough School District,6,1238
07,Camden,2560,Lawnside School Distric,2,1234
21,Mercer,2580,Lawrence Township Public School District,-158.5,1073.5
11,Cumberland,2570,Lawrence Township School District,-28,1204
80,Charters,6109,Lead Charter School,-47,1185
80,Charters,7109,Leap Academy University Charter School,21,1253
19,Hunterdon,2590,Lebanon Borough School District,-5,1227
19,Hunterdon,2600,Lebanon Township School District,-54,1178
05,Burlington,2610,Lenape Regional High School District,-24,1208
37,Sussex,2615,Lenape Valley Regional High School District,17.5,1249.5
03,Bergen,2620,Leonia Public School District,48,1280
27,Morris,2650,Lincoln Park School District,-39,1193
39,Union,2660,Linden Public School District,-183,1049
07,Camden,2670,Lindenwold Public School District,-83,1149
80,Charters,6099,Link Community Charter School,-52,1180
01,Atlantic,2680,Linwood City School District,-14,1218
29,Ocean,2690,Little Egg Harbor Township School District,-3,1229
31,Passaic,2700,Little Falls Township Public School District,-1,1231
03,Bergen,2710,Little Ferry Public School District,-53,1179
25,Monmouth,2720,Little Silver Boro School District,-51,1181
13,Essex,2730,Livingston Board Of Education School District,-86.5,1145.5
03,Bergen,2740,Lodi School District,-60,1172
15,Gloucester,2750,Logan Township School District,3,1235
29,Ocean,2760,Long Beach Island Consolidated School District,-9,1223
25,Monmouth,2770,Long Branch Public School District,-384.5,847.5
27,Morris,4000,Long Hill Township School District,-96,1136
41,Warren,2790,Lopatcong Township School District,-50,1182
09,Cape May,2820,Lower Cape May Regional School District,-60,1172
09,Cape May,2840,Lower Township Elementary School District,-114,1118
05,Burlington,2850,Lumberton Township Board Of Education,-89,1143
03,Bergen,2860,Lyndhurst School District,-104,1128
27,Morris,2870,Madison Public School District,-75.5,1156.5
07,Camden,2890,Magnolia School District,-28,1204
03,Bergen,2900,Mahwah Township Public School District,-90,1142
01,Atlantic,2910,Mainland Regional High School,0,1232
25,Monmouth,2920,Manalapan-Englishtown Regional Schools School District,-262,970
25,Monmouth,2930,Manasquan School District,54.5,1286.5
29,Ocean,2940,Manchester Township School District,-55,1177
33,Salem,2950,Mannington Township School District,-25,1207
41,Warren,2970,Mansfield Township Elementary School District,-55,1177
05,Burlington,2960,Mansfield Township School District,-45,1187
15,Gloucester,2990,Mantua Township School District,-63,1169
35,Somerset,3000,Manville School District,-65.5,1166.5
05,Burlington,3010,Maple Shade School District,-23,1209
01,Atlantic,3020,Margate City School District,22,1254
80,Charters,7735,Maria L. Varisco-Rogers Charter School,1,1233
21,Mercer,1431,Marie H. Katzenbach School For The Deaf,3,1235
80,Charters,7210,Marion P. Thomas Charter School,-50,1182
25,Monmouth,3030,Marlboro Township School District,-216,1016
07,Camden,1802,Mastery Schools Of Camden Inc.,105,1337
25,Monmouth,3040,Matawan-Aberdeen Regional School District,-231,1001
11,Cumberland,3050,Maurice River Township School District,-25,1207
03,Bergen,3060,Maywood School District,-28,1204
05,Burlington,3070,Medford Lakes School District,-41,1191
05,Burlington,3080,Medford Township School District,-158,1074
27,Morris,3090,Mendham Borough School District,-6,1226
27,Morris,3100,Mendham Township School District,19,1251
21,Mercer,3103,Mercer County Special Services School District,-42,1190
07,Camden,3110,Merchantville School District,-27,1205
23,Middlesex,3120,Metuchen Public School District,9,1241
09,Cape May,3130,Middle Township Public School District,-53.5,1178.5
23,Middlesex,3140,Middlesex Borough School District,-76.5,1155.5
80,Charters,7896,Middlesex County Stem Charter School,84,1316
23,Middlesex,3150,Middlesex County Vocational And Technical School District,40,1272
25,Monmouth,3160,Middletown Township Public School District,-393.5,838.5
03,Bergen,3170,Midland Park School District,-49.5,1182.5
19,Hunterdon,3180,Milford Borough School District,-7,1225
13,Essex,3190,Millburn Township School District,-113,1119
25,Monmouth,3200,Millstone Township School District,-55,1177
23,Middlesex,3220,Milltown School District,-24,1208
80,Charters,6069,Millville Public Charter School,-15,1217
11,Cumberland,3230,Millville School District,-248,984
27,Morris,3240,Mine Hill Township School District,4,1236
25,Monmouth,3250,Monmouth Beach School District,25,1257
25,Monmouth,3260,Monmouth County Vocational School District,-30,1202
25,Monmouth,3270,Monmouth Regional High School,17.5,1249.5
25,Monmouth,3255,Monmouth-Ocean Educational Services Commission School Distri,-3,1229
15,Gloucester,3280,Monroe Township Public School District,-44,1188
23,Middlesex,3290,Monroe Township School District,77,1309
37,Sussex,3300,Montague Township School District,5,1237
13,Essex,3310,Montclair Public School District,-235.5,996.5
35,Somerset,3320,Montgomery Township School District,-207,1025
03,Bergen,3330,Montvale Board Of Education School District,-53,1179
27,Morris,3340,Montville Township School District,-125.5,1106.5
03,Bergen,3350,Moonachie School District,14,1246
05,Burlington,3360,Moorestown Township Public School District,-143,1089
27,Morris,3365,Morris County Vocational School District,75.5,1307.5
27,Morris,3370,Morris Hills Regional School District,-43.5,1188.5
27,Morris,3380,Morris Plains School District,-17,1215
27,Morris,3385,Morris School District,-124,1108
39,Union,3395,Morris-Union Jointure Commisson School District,-3,1229
27,Morris,3410,Mount Arlington Public School District,-28,1204
05,Burlington,3430,Mount Holly Township Public School District,-37,1195
05,Burlington,3440,Mount Laurel Township School District,-182,1050
27,Morris,3450,Mount Olive Township School District,-42,1190
27,Morris,3460,Mountain Lakes Public School District,-49.5,1182.5
39,Union,3470,Mountainside School District,-30,1202
07,Camden,3420,Mt. Ephraim School District,0,1232
01,Atlantic,3480,Mullica Township School District,-54,1178
15,Gloucester,3490,National Park Boro School District,4,1236
25,Monmouth,3500,Neptune City School District,-33,1199
